year;co2
11904.91;1.16
11926.96;5.26
11948.09;2.04
11969.55;1.3
11990.69;1.39
12015.9;1.45
12037.32;0.35
12058.8;0.7
12079.85;2.57
12105.25;1.99
12124.58;0.87
12146.5;1.41
12168.48;0.85
12190.41;0.73
12211.34;1.23
12232.92;1.6
12256.48;1.48
12280.77;1.33
12301.04;0.29
12321.28;1.37
12343.12;0.76
12365.28;1.16
12388.31;1.21
12409.38;1.45
12431.93;0.82
12454.82;0.56
12475.39;0.79
12495.84;1.18
12521.35;1.29
12543.72;1.72
12564.62;1.21
12586.6;0.27
12607.64;1.18
12629.85;0.45
12653.64;1.68
12673.9;0.96
12697.14;0.96
12719.8;1.07
12739.91;0.41
12762.58;1.12
12785.63;2.09
12809.27;1.95
12830.15;1.34
12852.71;1.29
12873.98;1.3
12893.38;0.79
12917.11;1.12
12939.23;2.82
12959.75;0.95
12980.88;0.81
13001.06;2.09
13021.92;0.19
13043.69;1.94
13066.59;2.24
13088.22;1.16
13128.45;0.11
13172.67;0.96
13216.2;0.69
13266.97;0.15
13304.15;0.34
13418.1;1.87
13486.74;1.41
13531.75;0.4
13600.81;0.12
13645.35;0.46
13712.83;1.23
13758.73;2.22
13827.2;0.1
13871.57;0.85
13940.23;0.57
14001.79;1.04
14022.86;1.09
14060.09;1.17
14084.47;1.52
14120.06;0.13
14156.6;0.42
14179.55;0.81
14205.56;1.89
14237.45;1.19
14273.02;1.33
14298.72;0.22
14308.61;1.1
14343.16;1.09
14354.48;0.49
14374.99;1.05
14410.6;1.42
14422.23;1.76
14443.28;0.35
14463.58;0.77
14497.21;2.25
14520.85;1.27
14531.3;0.81
14541.66;0.56
14552.93;0.42
14563.52;1.46
14575.93;1.74
14586.19;1.14
14595.47;0.61
14606.21;0.85
14619.39;0.76
14629.99;1.12
14645.2;0.6
14652.26;0.39
14664.09;0.29
14675.12;1.04
14686.37;0.29
14696.69;0.44
14706.96;0.77
14718.12;1.1
14730.88;1.23
14743.19;1.1
14758.52;0.75
14763.41;0.78
14776.28;1.12
14787.83;0.23
14799.14;1.02
14810.61;0.43
14822.39;0.7
14834.75;0.01
14844.77;0.41
14857.53;1.47
14869.18;0.59
14880.66;1.11
14892.46;1.24
14904.21;0.54
14915.91;0.53
14929.02;0.34
14953.66;1.23
14976.48;2.09
14987.26;1.22
15011.48;1.02
15034.78;0.84
15072.53;0.24
15095.81;0.02
15133.53;0.63
15156.52;0.89
15181.11;1.04
15218.88;0.33
15243.44;1.21
15280.74;0.92
15320.94;1.42
15345.24;0.96
15382.85;1.57
15410.08;0.75
15462.93;1.38
15546.4;0.35
15649.43;1.37
15704.79;0.57
15767.68;1.87
15844.95;0.44
15920.25;0.65
15936.52;0.64
15995.49;2.06
15998.98;0.18
16014.67;0.89
16033.78;1.43
16083;0.82
16114.14;1.31
16151.21;1.02
16166.71;0.07
16187.46;1.18
16208.71;1.21
16222.96;0.55
16240.56;1.06
16260.73;0.97
16278.74;0.59
16296.96;0.75
16317.43;0.6
16337.25;1.19
16354.23;1.2
16374.89;0.5
16391.89;0.82
16410.71;0.94
16431.32;1.81
16458.38;0.28
16472.03;1.11
16509.93;0.12
16553.51;0.52
16590.01;0.84
16655.88;0.81
16733.53;1.1
16797.55;0.96
16869.32;0.96
