year;co2
662282.18;1.52
662796.61;2.12
662877.55;1.02
663937.52;1.2
664320.4;1.3
664408.09;0.83
665321.94;1.12
665836.52;1.12
666753.36;1.04
667409.86;1.38
668415.26;0.68
668915.54;0.71
669819.3;0.18
670296.32;0.92
671070.75;0.97
671457.93;0.69
672150.88;0.58
672761.38;0.99
673696.11;1
674229.38;0.73
675028.4;0.58
675406.53;0.81
676530.74;0.76
677152.31;0.61
677600.74;0.93
678328.18;1.38
678741.62;1.52
679455.37;0.81
679735.17;0.9
680312.58;0.55
680627.61;1.16
681225.67;1.21
681669.93;1.32
682343.71;0.89
682740.09;0.95
683457.86;1.68
683828.75;0.6
684423.68;1.65
684758.06;1.29
685294.84;0.77
685679.87;0.7
686269.11;1.39
686581.81;1.05
687154.04;1.05
687445.5;1.24
688000.38;1
688300.13;1.34
688809.87;1.14
689157.83;1.66
689693.26;1.29
689951.45;1.49
690474.65;0.99
690736.39;0.53
691221.83;1.05
691467.67;1.24
691967.96;1.95
692318.34;0.56
692832.46;1.27
693077.09;2.15
693574.04;2.1
693821.29;0.84
694280.35;0.99
694536.82;0.71
694949.14;0.91
695259.26;1.42
695732.31;0.57
695981.88;1.46
696434.89;1.52
696644.83;1.28
697090.29;0.96
697342.45;1.11
697746.68;1.27
698039;0.79
698505.54;1.92
698753.23;0.73
699215.75;1.02
699439.02;0.65
699864.71;0.8
700103.69;0.55
700485.02;0.65
700814.84;0.48
701268.53;0.97
701524.52;0.54
701993.15;1.02
702200.92;0.75
702734.27;1.62
703009.98;0.26
703468.52;1.26
703796.07;1.12
704250.52;0.52
704581.81;1.36
705053.34;0.46
705243.91;1.68
705726.95;1.33
706053.2;1.57
706492.95;1.75
706710.74;0.93
707310.7;0.8
707643.73;1.46
708199.68;1
708413.45;1.01
708959.15;1.15
709453.79;0.86
709909.55;0.99
710456.45;0.73
710983.36;0.62
711399.04;0.29
712021.47;1.49
712243.73;1.45
713312.5;0.47
714065.58;1.61
714403.8;2.01
715115.73;0.59
715565.38;0.55
716310.16;0.66
716585.91;1.65
717348.27;1.17
717955.48;1.13
718778.35;1.64
719287.18;0.75
720087.29;0.84
720590.76;0.9
721407.52;1.18
721689.86;1.27
722505.81;2.02
722994.59;0.69
723780.23;1.77
724142;1.19
724975.36;0.37
725474.43;1.28
726249.59;1.07
726576.86;0.77
727898.5;1.62
728593.9;0.83
728987.53;0.78
729836.94;1.01
730260.31;1.72
730908.31;0.69
731184.23;0.34
731861;0.36
732321.75;1.89
732993.5;1.24
733329;0.81
734022.23;1.03
734462.62;1.81
735134.57;0.71
735409.91;0.83
736107.31;1.38
736522.22;1.66
737269.82;1.56
737660.12;1.49
738580.99;0.93
739174.56;0.33
740106.45;2.38
740460.92;2.4
741329.9;2.07
741874.13;1.31
742644.75;2.71
743062.17;0.72
743959.08;0.91
744523.14;0.9
745671.05;1.24
746619.93;0.42
747177.04;0.32
747940.2;1.27
748336.88;0.84
749262.93;1.26
749814.18;1.76
750706.44;1.57
751036.25;1.38
751973.87;1.88
752565.88;1.3
753489.07;0.34
753934.65;1.84
755114.58;1.7
755586.83;1.53
756566.17;1.96
756850.68;1.36
757785.45;2.15
758362.42;2.34
759135.69;1.5
759561.88;1.42
759878.21;0.68
760108.27;1.75
760516.06;2.33
760939.94;1.23
761864.49;0.75
762166.04;1.12
763101.8;1.86
763770.58;0.23
764676.88;2.06
765181.82;0.92
765586.64;3.05
765851.48;2.67
766188.5;1.38
766808.91;0.89
767747.16;1.56
768117.26;0.51
769061.38;0.41
769651.42;0.95
770599.15;2.11
771020.67;1.8
771519.33;1.64
771812.67;1.61
772175.26;1.87
772474.56;1.1
772737.96;2.17
772995.64;2.09
773249.82;2.45
773684.47;1.51
774044.14;1
774958.81;2.26
775538.01;0.87
776332.26;0.36
776782.7;0.63
777681.75;2.01
778232.79;0.67
779057.98;0.48
779367.55;1.13
780188.92;2.36
780719.44;0.93
781562.83;0.6
781886.68;0.7
782728.45;0.65
783198.53;1.06
784261.76;2.51
785034.08;0.66
785519.05;0.24
786189.6;2.57
786563.26;1.38
787355.51;1.26
787803.57;0.73
788479.24;1.52
788691.87;2.69
789494.04;0.78
789953.01;2.99
790639.41;0.84
791056.88;1.77
792030.78;3.67
792617.3;2.53
793519.39;1.6
793852.76;1.93
795122.45;1.67
795687.32;1.99
796852.59;2.1
797378.82;1.42
798681.3;2.19
801236.06;1.74
802872.09;0.98
803709.25;1.04
803925.28;2.06
804009.87;0.92
804522.67;1.64
805132.44;0.69
805668.87;2.2
